category,category_label,name,legal_name,town,url,website
detskiy-otdyh,Детский отдых / лагерь,КИД-клуб KiDS,КИД-клуб KiDS,,https://moskva.fulledu.ru/detskiy-otdyh/kid-klub-kids/about/,
detskiy-otdyh,Детский отдых / лагерь,КИД-клуб KIDS,КИД-клуб KIDS,деревня Пешки,https://moskva.fulledu.ru/detskiy-otdyh/kid-klub-kids-611-2873/about/,https://kid-club.ru
detskiy-otdyh,Детский отдых / лагерь,Кид-клуб. Musical Project Russia,Кид-клуб. Musical Project Russia,,https://moskva.fulledu.ru/detskiy-otdyh/kid-klub-musical-project-russia/about/,
detskiy-otdyh,Детский отдых / лагерь,КИД-клуб. Лагерь Выходного Дня,КИД-клуб. Лагерь Выходного Дня,деревня Колонтаево,https://moskva.fulledu.ru/detskiy-otdyh/kid-klub-lager-vyhodnogo-dnya/about/,
detskiy-otdyh,Детский отдых / лагерь,Кидс Проджектс. Summer Vocal Campсо Львом Аксельродом,Кидс Проджектс. Summer Vocal Campсо Львом Аксельродом,поселок городского типа Черкизово,https://moskva.fulledu.ru/detskiy-otdyh/kids-prodzhekts-summer-vocal-campso-lvom-akselrodom/about/,
detskiy-otdyh,Детский отдых / лагерь,Кидс Проджектс. Бесшабашная Послешколия,Кидс Проджектс. Бесшабашная Послешколия,,https://moskva.fulledu.ru/detskiy-otdyh/kids-prodzhekts-besshabashnaya-posleshkoliya/about/,
detskiy-otdyh,Детский отдых / лагерь,Кидс проджектс. Живая история,Кидс проджектс. Живая история,Королев,https://moskva.fulledu.ru/detskiy-otdyh/kids-prodzhekts-zhivaya-istoriya/about/,
detskiy-otdyh,Детский отдых / лагерь,Киностарт,Киностарт,село Петровское,https://moskva.fulledu.ru/detskiy-otdyh/kinostart/about/,
detskiy-otdyh,Детский отдых / лагерь,Кислород,Кислород,поселок гидроузла им. Куйбышева,https://moskva.fulledu.ru/detskiy-otdyh/kislorod/about/,
detskiy-otdyh,Детский отдых / лагерь,Классный отдых. Однодневные выезды для групп,Классный отдых. Однодневные выезды для групп,поселок гидроузла им. Куйбышева,https://moskva.fulledu.ru/detskiy-otdyh/klassnyy-otdyh-odnodnevnye-vyezdy-dlya-grupp/about/,
