category,category_label,name,legal_name,town,url,website,website_source
detskiy-otdyh,Детский отдых / лагерь,FiLMCAMP: School of FiLM,FiLMCAMP: School of FiLM,,https://moskva.fulledu.ru/detskiy-otdyh/filmcamp-school-of-film/about/,https://rutube.ru/video/0d7d172a06f44856c535e88ae6ff5fee,search:auto
detskiy-otdyh,Детский отдых / лагерь,Football School с тренером из Манчестера,Football School с тренером из Манчестера,поселок Володарского,https://moskva.fulledu.ru/detskiy-otdyh/football-school-s-trenerom-iz-manchestera/about/,https://apni.ru/uploads/ee3f8a67_0ccf_4024_82c1_72cec956652a_a4158fbc0c.pdf,search:auto
detskiy-otdyh,Детский отдых / лагерь,Fun English Holiday,Fun English Holiday,Химки,https://moskva.fulledu.ru/detskiy-otdyh/fun-english-holiday/about/,http://princes-school.com/2015/08/21/english-fun-holiday-camp-2015,search:auto
detskiy-otdyh,Детский отдых / лагерь,J-CAMP,J-CAMP,село Левково,https://moskva.fulledu.ru/detskiy-otdyh/j-camp/about/,https://odin.ru/img/2020/06/files/8.xlsx,search:auto
detskiy-otdyh,Детский отдых / лагерь,kaNNиkулы ART,kaNNиkулы ART,,https://moskva.fulledu.ru/detskiy-otdyh/kannikuly-art/about/,https://playschool.ru/artholidays,search:auto
detskiy-otdyh,Детский отдых / лагерь,kaNNиkулы DANCE,kaNNиkулы DANCE,,https://moskva.fulledu.ru/detskiy-otdyh/kannikuly-dance/about/,https://www.ssport.ru/articles/tvorcheskij-lager-dlya-detej-v-moskve,search:auto
detskiy-otdyh,Детский отдых / лагерь,kaNNиkулы ENGLISH,kaNNиkулы ENGLISH,,https://moskva.fulledu.ru/detskiy-otdyh/kannikuly-english/about/,https://vlagere.ru/camp/angliyskiy-gorodskoy-lager-english-stars,search:auto
detskiy-otdyh,Детский отдых / лагерь,kaNNиkулы ORIGINAL,kaNNиkулы ORIGINAL,село Рождествено,https://moskva.fulledu.ru/detskiy-otdyh/kannikuly-original/about/,https://www.rea.ru/~file/69652/pamyatka_compressed_1_compressed+_2_.pdf,search:auto
detskiy-otdyh,Детский отдых / лагерь,kaNNиkулы SPORT,kaNNиkулы SPORT,село Рождествено,https://moskva.fulledu.ru/detskiy-otdyh/kannikuly-sport/about/,https://vodoleycamp.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,kaNNиkулы VOICE,kaNNиkулы VOICE,,https://moskva.fulledu.ru/detskiy-otdyh/kannikuly-voice/about/,https://mosgortur.ru/projects/project23.htm,search:auto
detskiy-otdyh,Детский отдых / лагерь,kaNNиkулы МЕГАНЯНЬ выходного дня,kaNNиkулы МЕГАНЯНЬ выходного дня,,https://moskva.fulledu.ru/detskiy-otdyh/kannikuly-meganyan-vyhodnogo-dnya/about/,https://campik.ru/camps/kannikuly-gornolyzka,search:auto
detskiy-otdyh,Детский отдых / лагерь,KIDZ LAND,KIDZ LAND,деревня Ястребки,https://moskva.fulledu.ru/detskiy-otdyh/kidz-land/about/,https://campik.ru/camps/kidz-land,search:auto
detskiy-otdyh,Детский отдых / лагерь,Lake Joy Camp,Lake Joy Camp,деревня Животино,https://moskva.fulledu.ru/detskiy-otdyh/lake-joy-camp/about/,https://deti-travel.ru/camp/4602,search:auto
detskiy-otdyh,Детский отдых / лагерь,Level-up Language Camp,Level-up Language Camp,,https://moskva.fulledu.ru/detskiy-otdyh/level-up-language-camp/about/,https://neo-camp.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Like,Like,поселок Бабаево,https://moskva.fulledu.ru/detskiy-otdyh/like/about/,https://az35.ru/detskij-lager-kamushki,search:auto
detskiy-otdyh,Детский отдых / лагерь,Lingvinity Camp,Lingvinity Camp,Москва,https://moskva.fulledu.ru/detskiy-otdyh/lingvinity-camp-3561-8008/about/,https://fmcamp.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Master English Camp,Master English Camp,Руза,https://moskva.fulledu.ru/detskiy-otdyh/master-english-camp/about/,https://camp.mosreg.ru/camps/30,search:auto
detskiy-otdyh,Детский отдых / лагерь,NanoCamp. Экспериментаниум!,NanoCamp. Экспериментаниум!,поселок городского типа Обухово,https://moskva.fulledu.ru/detskiy-otdyh/nanocamp-eksperimentanium/about/,https://campik.ru/camps/nanocamp,search:auto
detskiy-otdyh,Детский отдых / лагерь,NEO CAMP,NEO CAMP,поселок Зеленый Городок,https://moskva.fulledu.ru/detskiy-otdyh/neo-camp/about/,https://neo-camp.ru/transfer,search:auto
detskiy-otdyh,Детский отдых / лагерь,Ni Hao,Ni Hao,,https://moskva.fulledu.ru/detskiy-otdyh/ni-hao/about/,https://www.alean.ru/hotels/rossiya/sankt-peterburg/nihao_hotel___nihao_otel,search:auto
detskiy-otdyh,Детский отдых / лагерь,Online,Online,деревня Костино,https://moskva.fulledu.ru/detskiy-otdyh/online/about/,https://www.nextcamp.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Orange Republic,Orange Republic,Москва,https://moskva.fulledu.ru/detskiy-otdyh/detskiy-sovremennyy-lager-orange-republic/about/,https://campik.ru/category/pool-camp,search:auto
detskiy-otdyh,Детский отдых / лагерь,Robocamp,Robocamp,поселок городского типа Обухово,https://moskva.fulledu.ru/detskiy-otdyh/robocamp/about/,https://www.best-camp.ru/moscow/nanocamp_not,search:auto
detskiy-otdyh,Детский отдых / лагерь,Round the world,Round the world,Химки,https://moskva.fulledu.ru/detskiy-otdyh/round-the-world/about/,https://www.mos.ru/upload/documents/files/2712/EKP_2022_23062022.pdf,search:auto
detskiy-otdyh,Детский отдых / лагерь,Star Camp,Star Camp,поселок Огниково,https://moskva.fulledu.ru/detskiy-otdyh/lager-dlya-devochek-quotstar-campquot/about/,https://campik.ru/camps/lager-dla-devocek-star-camp,search:auto
detskiy-otdyh,Детский отдых / лагерь,StudyCamp,StudyCamp,Москва,https://moskva.fulledu.ru/detskiy-otdyh/studycamp/about/,https://studycamp.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Sunny Summer ABC,Sunny Summer ABC,Москва,https://moskva.fulledu.ru/detskiy-otdyh/sunny-summer-abc/about/,https://sunschool.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Top Kids,Top Kids,поселок Огниково,https://moskva.fulledu.ru/detskiy-otdyh/top-kids/about/,https://detinform.ru/obrazovanie/detskie-sady/chastnye-detskie-sady/own-territory,search:auto
detskiy-otdyh,Детский отдых / лагерь,VSedlo.ru,VSedlo.ru,деревня Жаворонки,https://moskva.fulledu.ru/detskiy-otdyh/vsedloru/about/,https://campik.ru/stock/konnyj-lager-vsedloru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Weekend Talk,Weekend Talk,поселок дома отдыха Покровское,https://moskva.fulledu.ru/detskiy-otdyh/weekend-talk/about/,https://mycamps.ru/camps/yazykovoj/rossiya/frantsuzskij,search:auto
detskiy-otdyh,Детский отдых / лагерь,World Skills KIDS,World Skills KIDS,поселок дома отдыха Авангард,https://moskva.fulledu.ru/detskiy-otdyh/world-skills-kids/about/,https://a4vlad.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Авангард,Учебно-методический центр военно-патриотического воспитания молодёжи «Авангард»,,https://moskva.fulledu.ru/detskiy-otdyh/uvc-avangard/about/,https://avangard25.ru,search:auto
