category,category_label,name,legal_name,town,url,website
school,Школа,Авангард,"Муниципальное Бюджетное Образовательное  Учреждение Дополнительного  Образования Детей ""специализированная  Детско-Юношеская  Спортивная Школа Олимпийского Резерва ""авангард""",Коломна,https://moskva.fulledu.ru/school/shkola-mbou-dod-sdusshor-avangard/about/,
school,Школа,Авсюнинская СОШ,"Муниципальное Бюджетное Общеобразовательное Учреждение ""авсюнинская Средняя Общеобразовательная Школа"" Орехово-Зуевского Муниципального Района Московской Области",поселок Авсюнино,https://moskva.fulledu.ru/school/shkola-mbou-avsuninskaya-sosh/about/,
school,Школа,Авсюнинская средняя общеобразовательная школа,Авсюнинская средняя общеобразовательная школа,поселок Авсюнино,https://moskva.fulledu.ru/school/avsuninskaya-srednyaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,Автономная некоммерческая организация общеразовательная средняя школа Город солнца,Автономная некоммерческая организация общеразовательная средняя школа Город солнца,поселок Нагорное,https://moskva.fulledu.ru/school/avtonomnaya-nekommercheskaya-organizaciya-obscherazovatelnaya-srednyaya-shkola-gorod-solnca/about/,
school,Школа,Автономная некоммерческая организация средняя общеобразовательная школа Логос,Автономная некоммерческая организация средняя общеобразовательная школа Логос,Москва,https://moskva.fulledu.ru/school/avtonomnaya-nekommercheskaya-organizaciya-srednyaya-obscheobrazovatelnaya-shkola-logos/about/,
school,Школа,Автономная некоммерческая организация средняя общеобразовательная школа ПРИОРИТЕТ,Автономная некоммерческая организация средняя общеобразовательная школа ПРИОРИТЕТ,Москва,https://moskva.fulledu.ru/school/avtonomnaya-nekommercheskaya-organizaciya-srednyaya-obscheobrazovatelnaya-shkola-prioritet/about/,
school,Школа,Автономная некоммерческая организация средняя общеобразовательная школа Учебный центр Перспектива,Автономная некоммерческая организация средняя общеобразовательная школа Учебный центр Перспектива,Москва,https://moskva.fulledu.ru/school/avtonomnaya-nekommercheskaya-organizaciya-srednyaya-obscheobrazovatelnaya-shkola-uchebnyy-centr-pers/about/,
school,Школа,Автономная некоммерческая организация Средняя общеобразовательная школа “ЭЛЛАДА”,"Общеобразовательная автономная некоммерческая организация Гимназия ""Эллада"" во имя святых Кирилла и Мефодия",Москва,https://moskva.fulledu.ru/school/avtonomnaya-nekommercheskaya-organizaciya-srednyaya-obscheobrazovatelnaya-shkola-ellada/about/,
school,Школа,Агинская средняя общеобразовательная школа № 4,Агинская средняя общеобразовательная школа № 4,Москва,https://moskva.fulledu.ru/school/aginskaya-srednyaya-obscheobrazovatelnaya-shkola-4/about/,
school,Школа,АКАДЕМ.ГИМНАЗИЯ,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ""АКАДЕМИЧЕСКАЯ ГИМНАЗИЯ""",Москва,https://moskva.fulledu.ru/school/ano-sosh-akademgimnaziya-171488/about/,
school,Школа,Акатьевская основная общеобразовательная школа,Муниципальное Общеобразовательное Учреждение Акатьевская Основная Общеобразовательная Школа,село Акатьево,https://moskva.fulledu.ru/school/mou-akatevskaya-osnovnaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,Акатьевская средняя общеобразовательная школа,Акатьевская средняя общеобразовательная школа,село Акатьево,https://moskva.fulledu.ru/school/akatevskaya-srednyaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,Аксеновская основная общеобразовательная школа,Аксеновская основная общеобразовательная школа,деревня Аксеново,https://moskva.fulledu.ru/school/aksenovskaya-osnovnaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,Акуловская средняя общеобразовательная школа,Акуловская средняя общеобразовательная школа,Кубинка,https://moskva.fulledu.ru/school/akulovskaya-srednyaya-obscheobrazovatelnaya-shkola/about/,
