category,category_label,name,legal_name,town
detskiy-otdyh,Детский отдых / лагерь,meteor,meteor,
detskiy-otdyh,Детский отдых / лагерь,molodezhnyy proekt quot911quot,molodezhnyy proekt quot911quot,
detskiy-otdyh,Детский отдых / лагерь,moskoviya,moskoviya,
detskiy-otdyh,Детский отдых / лагерь,motor,motor,
detskiy-otdyh,Детский отдых / лагерь,nanocamp eksperimentanium,nanocamp eksperimentanium,
detskiy-otdyh,Детский отдых / лагерь,neo camp,neo camp,
detskiy-otdyh,Детский отдых / лагерь,ni hao,ni hao,
detskiy-otdyh,Детский отдых / лагерь,novaya volna,novaya volna,
detskiy-otdyh,Детский отдых / лагерь,obedinennoe korolevstvo,obedinennoe korolevstvo,
detskiy-otdyh,Детский отдых / лагерь,ochen lesnoy desant,ochen lesnoy desant,
detskiy-otdyh,Детский отдых / лагерь,ochenkanikuly marcipanovoe rozhdestvo,ochenkanikuly marcipanovoe rozhdestvo,
detskiy-otdyh,Детский отдых / лагерь,ogonk 9619,ogonk 9619,
detskiy-otdyh,Детский отдых / лагерь,online,online,
detskiy-otdyh,Детский отдых / лагерь,orlenok,orlenok,
detskiy-otdyh,Детский отдых / лагерь,orlnok 9838,orlnok 9838,
detskiy-otdyh,Детский отдых / лагерь,ostrov geroev,ostrov geroev,
detskiy-otdyh,Детский отдых / лагерь,ostrov hesm kovboi podmoskovya,ostrov hesm kovboi podmoskovya,
detskiy-otdyh,Детский отдых / лагерь,otrada,otrada,
detskiy-otdyh,Детский отдых / лагерь,ozry,ozry,
detskiy-otdyh,Детский отдых / лагерь,panda kemps,panda kemps,
detskiy-otdyh,Детский отдых / лагерь,pervoe detskoe agentstvo grani razvitiya,pervoe detskoe agentstvo grani razvitiya,
detskiy-otdyh,Детский отдых / лагерь,pervoe detskoe agentstvo happy story,pervoe detskoe agentstvo happy story,
detskiy-otdyh,Детский отдых / лагерь,pervoe detskoe agentstvo liderkemp,pervoe detskoe agentstvo liderkemp,
