category,category_label,name,legal_name,town,url,website
sadik,Детский сад,Аленький цветочек,Аленький цветочек,Подольск,https://moskva.fulledu.ru/sadik/detskiy-sad-centr-vospitaniya-detey-rannego-vozrasta-zolotoy-kluchik/about/,http://klimovskds18.edumsko.ru
sadik,Детский сад,"Алтайская ул., дом 2А","Алтайская ул., дом 2А",Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-225-kompensiruuschego-vida-dlya-detey-s-narusheniem-rechi/about/,http://sch1078.mskobr.ru/dou_edu/doshkol_noe_podrazdelenie_1/
sadik,Детский сад,"Алтайская ул., дом 6А",144,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-144-s-yaselnoy-gruppoy/about/,http://sch1078.mskobr.ru/dou_edu/strukturnoe_podrazdelenie_3/
sadik,Детский сад,Алые паруса,229,Москва,https://moskva.fulledu.ru/sadik/detskiy-sad-229-s-yaselnymi-gruppami/about/,http://sch1272.mskobr.ru/dou_edu/alye_parusa/
sadik,Детский сад,Алые паруса,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1005 ""Алые паруса""",Москва,https://moskva.fulledu.ru/sadik/gbou-crr-detskiy-sad-2452-alye-parusa/about/,http://sch1005sz.mskobr.ru/dou_edu/doshkol_noe_otdelenie_quot_alye_parusa_quot_ul_aviacionnaya_d_71/
sadik,Детский сад,Алые паруса,"Муниципальное Дошкольное Образовательное Учреждение Детский Сад Общеразвивающего Вида №31 ""алые Паруса""",Подольск,https://moskva.fulledu.ru/sadik/mdou-detskiy-sad-obscherazvivauschego-vida-31-alye-parusa/about/,
sadik,Детский сад,Алёнушка,Алёнушка,поселок Зверосовхоза,https://moskva.fulledu.ru/sadik/55-alenushka-detskiy-sad-centr-razvitiya-rebenka/about/,http://push-alenushka55.edumsko.ru
sadik,Детский сад,Алёнушка,Алёнушка,Дмитров,https://moskva.fulledu.ru/sadik/detskiy-sad-mdou-20-alnushka/about/,http://dmdou20.edumsko.ru
sadik,Детский сад,Алёнушка,Алёнушка,Воскресенск,https://moskva.fulledu.ru/sadik/mdou-detskiy-sad-obscherazvivauschego-vida-11-alenushka/about/,http://vos-ds11-alenushka.edumsko.ru
sadik,Детский сад,Алёнушка,"Муниципальное Автономное Дошкольное Образовательное Учреждение Жилёвский Детский Сад Комбинированного Вида ""алёнушка"" Ступинского Муниципального Района",поселок городского типа Жилево,https://moskva.fulledu.ru/sadik/detskiy-sad-madou-zhilvskiy-ds-kombinirovannogo-vida-alnushka/about/,
sadik,Детский сад,Английский детский сад Discovery Мосфильмовская,Английский детский сад Discovery Мосфильмовская,Москва,https://moskva.fulledu.ru/sadik/angliyskiy-detskiy-sad-discovery-mosfilmovskaya/about/,http://discoveryschool.ru/sadiki/discovery-mosfilmovskaya/
sadik,Детский сад,Андреевский,1273,Москва,https://moskva.fulledu.ru/sadik/1273-detskiy-sad-kombinirovannogo-vida-logopedicheskiy/about/,http://karamzin.mskobr.ru/dou_edu/gbou_shkola_1107/
sadik,Детский сад,Анютины Глазки,2009,Москва,https://moskva.fulledu.ru/sadik/2009-detskiy-sad-logopedicheskie-gruppy/about/,http://sch1240.mskobr.ru/dou_edu/do-11/
sadik,Детский сад,Аринушка,"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2460 ""Аринушка""",Москва,https://moskva.fulledu.ru/sadik/2460-detskiy-sad/about/,http://sch1298sz.mskobr.ru/dou_edu/arinushka/
sadik,Детский сад,Астрадамское,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1454 «Центр образования Тимирязевский""",Москва,https://moskva.fulledu.ru/sadik/317-detskiy-sad-s-yaselnoy-gruppoy/about/,http://sch1454s.mskobr.ru/dou_edu/dubok/
sadik,Детский сад,"Байкальская ул., дом 49А",1654,Москва,https://moskva.fulledu.ru/sadik/1654-detskiy-sad-kombinirovannogo-vida-s-logopedicheskimi-gruppami/about/,http://sch1078.mskobr.ru/dou_edu/modul_5/
sadik,Детский сад,Бакалавр Химки,Бакалавр Химки,Химки,https://moskva.fulledu.ru/sadik/detskiy-sad-bakalavr-himki/about/,
